imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt0758730,Aliens vs. Predator: Requiem, Johnny Lewis,Action,USA,English,20th Century Fox,R,94,2007,4.7,characters,13.866,1259,41797066
tt0192255,The Little Vampire, Alice Krige,Adventure,Germany,English,New Line Cinema,PG,95,2000,5.8,novel,7.279,159,13555988
tt0119951,Private Parts, Fred Norris,Biography,USA,English,Warner Bros.,R,109,1997,6.8,book,7.932,161,41230799
tt0988047,Traitor, Neal McDonough,Action,USA,English,Overture Films,PG-13,114,2008,7,screenplay,24.976,321,23530831
tt1392197,Marmaduke, Christopher Mintz-Plasse,Comedy,USA,English,20th Century Fox,PG,87,2010,4.2,comic,10.858,355,83761844
tt1606389,The Vow, Sam Neill,Drama,Germany,English,Sony Pictures,PG-13,104,2012,6.8,screenplay,13.773,2367,196114570
tt0330373,Harry Potter and the Goblet of Fire, Daniel Radcliffe,Adventure,France,English,Warner Bros.,PG-13,157,2005,7.7,screenplay,31.101,10900,895921036
tt0082158,Chariots of Fire, Ben Cross,Biography,France,French,20th Century Fox,PG,125,1981,7.2,screenplay,25.144,369,58972904
tt1582507,House at the End of the Street, Gil Bellows,Drama,USA,English,Relativity Media,PG-13,101,2012,5.6,screenplay,8.841,1009,44287131
tt2262227,The Book of Life, Ron Perlman,Animation,Spain,Spanish,20th Century Fox,PG,95,2014,7.3,screenplay,13.186,1207,97437106
tt1250777,Kick-Ass, Deborah Twiss,Action,UK,English,Lionsgate,R,117,2010,7.6,screenplay,11.978,7429,96188903
tt1226273,Edge of Darkness, Bojana Novakovic,Crime,UK,English,Warner Bros.,R,117,2010,6.6,screenplay,11.969,782,74901339
tt0898367,The Road, Guy Pearce,Adventure,USA,English,The Weinstein Co.,R,111,2009,7.3,novel,11.344,1836,27635305
tt2120120,Pixels, Peter Dinklage,Action,Canada,English,Sony Pictures,PG-13,105,2015,5.6,screenplay,17.63,4372,243637091
tt0244000,American Outlaws, Gabriel Macht,Action,USA,English,Warner Bros.,PG-13,94,2001,6,story,6.393,97,13678913
tt2528814,God's Not Dead, Dean Cain,Drama,USA,English,Pure Flix Entertainment,PG,113,2014,4.8,story,7.804,489,29789000
tt0104321,"Gas, Food Lodging", James Brolin,Drama,USA,English,Sony Pictures Entertainment,R,101,1992,6.7,novel,3.412,18,1345236
tt0438097,Ice Age: The Meltdown, Seann William Scott,Animation,USA,English,20th Century Fox,PG,91,2006,6.8,screenplay,17.425,5678,660940780
tt2333784,The Expendables 3, Arnold Schwarzenegger,Action,Bulgaria,English,Lionsgate ,PG-13,126,2014,6.1,screenplay,13.344,2826,206172544
tt0099005,Air America, Ken Jenkins,Action,USA,English,Live Home Video,R,113,1990,5.7,book,9.93,238,33461269
tt0114296,Roommates, Ellen Burstyn,Comedy,USA,English,Buena Vista,PG,108,1995,6.4,short story,3.269,12,12400000
tt0120399,U Turn, Richard Rutowski,Crime,France,English,Sony Pictures Entertainment,R,125,1997,6.8,screenplay,29.425,303,6682098
tt1524575,The Vatican Tapes, Michael Peña,Horror,USA,English,Pantelion Films,PG-13,91,2015,5,screenplay,8.17,360,1784763
tt1192628,Rango, Ned Beatty,Animation,USA,English,Paramount Pictures,PG,107,2011,7.2,story,11.59,3344,65560000
tt0268380,Ice Age, Goran Visnjic,Animation,USA,English,20th Century Fox,PG,81,2002,7.5,story,22.172,7369,383257136
tt0073802,Three Days of the Condor, Max von Sydow,Mystery,France,French,Paramount Home Video,R,117,1975,7.5,novel,23.626,455,27476252
tt0250371,The Other Side of Heaven, Nathaniel Lees,Adventure,USA,English,Excel Entertainmen,PG,113,2001,6.5,book,2.233,25,4720371
tt3521164,Moana, Temuera Morrison,Animation,USA,English,Walt Disney Pictures,PG,107,2016,7.6,screenplay,4.715,6812,695331111
